Country/Other,Total Cases,New Cases,Total Deaths,New deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total cases/1M Pop,Deaths/1M POP,Total Tests,Tests/1M POP,Populations,Continents,%inc cases,%inc Deaths,%inc recovered
Ivory Coast,88384,-1.0,835,-1.0,87497,-1.0,52,-1,3186.0,30.0,1690934,60951,27742298,Africa,-0.0011314265025343952,-0.11976047904191617,-0.0011428963278740985
Suriname,82588,-1.0,1408,-1.0,0,0.0,0,-1,138378.0,2359.0,242207,405822,596831,South America,-0.0012108296604833632,-0.07102272727272728,
New Caledonia,80064,-1.0,314,-1.0,0,0.0,0,0,275214.0,1079.0,98964,340182,290915,Australia/Oceania,-0.0012490007993605115,-0.3184713375796179,
French Polynesia,79254,-1.0,650,-1.0,0,0.0,0,0,278902.0,2287.0,-1,-1,284164,Australia/Oceania,-0.0012617659676483206,-0.15384615384615385,
Eswatini,75191,-1.0,1427,-1.0,73116,-1.0,648,-1,63462.0,1204.0,1048704,885119,1184817,Africa,-0.0013299464031599527,-0.0700770847932726,-0.0013676896985611905
Guyana,74137,-1.0,1300,-1.0,72013,-1.0,824,-1,93366.0,1637.0,733218,923396,794045,South America,-0.0013488541484009335,-0.07692307692307693,-0.0013886381625539833
Belize,71381,-1.0,688,-1.0,0,0.0,0,0,173175.0,1669.0,576016,1397453,412190,North America,-0.0014009330213922472,-0.14534883720930233,
Fiji,69117,-1.0,885,-1.0,67226,-1.0,1006,-1,75997.0,973.0,672883,739866,909466,Australia/Oceania,-0.0014468220553554118,-0.11299435028248588,-0.0014875197096361527
Madagascar,68486,-1.0,1426,-1.0,66862,-1.0,198,-1,2347.0,49.0,531329,18210,29178077,Africa,-0.0014601524399147272,-0.07012622720897616,-0.0014956178397295922
Cabo Verde,64477,-1.0,417,-1.0,63755,-1.0,305,23,113580.0,735.0,401622,707482,567678,Africa,-0.0015509406455014967,-0.2398081534772182,-0.0015685044310250178
Mauritania,63839,-1.0,997,-1.0,62471,-1.0,371,-1,13023.0,203.0,1009957,206030,4901981,Africa,-0.0015664405770767086,-0.10030090270812438,-0.00160074274463351
Bhutan,62697,-1.0,21,-1.0,61564,-1.0,1112,-1,79571.0,27.0,2303734,2923739,787941,Asia,-0.0015949726462191173,-4.761904761904762,-0.001624325904749529
Burundi,54721,-1.0,38,-1.0,53569,-1.0,1114,-1,4334.0,3.0,345742,27386,12624840,Africa,-0.0018274519836991281,-2.631578947368421,-0.0018667512927252703
Gabon,49051,-1.0,307,-1.0,48674,-1.0,70,-1,21038.0,132.0,1621909,695641,2331533,Africa,-0.002038694420093372,-0.32573289902280134,-0.002054484940625385
Andorra,48015,-1.0,165,-1.0,0,0.0,0,0,619844.0,2130.0,249838,3225256,77463,Europe,-0.0020826824950536294,-0.6060606060606061,
Papua New Guinea,46864,-1.0,670,-1.0,46168,-1.0,26,0,5043.0,72.0,249149,26813,9292169,Australia/Oceania,-0.0021338340730624786,-0.1492537313432836,-0.002166002425922717
Curaçao,45986,-1.0,295,-1.0,44720,-1.0,971,3,277812.0,1782.0,496693,3000640,165529,North America,-0.0021745748706127953,-0.3389830508474576,-0.0022361359570661895
Aruba,44224,-1.0,292,-1.0,42438,-1.0,1494,2,410969.0,2714.0,177885,1653068,107609,North America,-0.002261215629522431,-0.3424657534246575,-0.0023563787171874263
